datetime,timestamp,open,high,low,close,volume
2025-03-03 09:20:00+05:30,1740973500,2179.75,2193.35,2173.05,2191.05,32209
2025-03-03 09:25:00+05:30,1740973800,2190.85,2190.9,2180.6,2184.6,13746
2025-03-03 09:30:00+05:30,1740974100,2184.85,2184.95,2179.15,2180.25,4852
2025-03-03 09:35:00+05:30,1740974400,2180.55,2181.15,2176.3,2181.15,10987
2025-03-03 09:40:00+05:30,1740974700,2181.15,2187.5,2180.7,2182.3,9767
2025-03-03 09:45:00+05:30,1740975000,2182.3,2183.4,2179.2,2179.95,6757
2025-03-03 09:50:00+05:30,1740975300,2179.4,2180.95,2175.0,2175.85,7717
2025-03-03 09:55:00+05:30,1740975600,2175.85,2175.85,2167.5,2167.65,9987
2025-03-03 10:00:00+05:30,1740975900,2168.7,2170.0,2165.3,2167.35,9715
2025-03-03 10:05:00+05:30,1740976200,2166.5,2167.7,2161.25,2164.0,9423
2025-03-03 10:10:00+05:30,1740976500,2163.9,2164.65,2155.85,2156.0,11120
2025-03-03 10:15:00+05:30,1740976800,2156.85,2158.0,2153.6,2153.6,12895
2025-03-03 10:20:00+05:30,1740977100,2153.45,2154.65,2147.15,2151.3,21493
2025-03-03 10:25:00+05:30,1740977400,2151.3,2155.75,2149.5,2152.8,7918
2025-03-03 10:30:00+05:30,1740977700,2152.8,2157.1,2150.05,2155.0,11748
2025-03-03 10:35:00+05:30,1740978000,2154.9,2155.0,2143.05,2143.05,10491
2025-03-03 10:40:00+05:30,1740978300,2143.9,2145.0,2142.0,2142.65,5808
2025-03-03 10:45:00+05:30,1740978600,2143.75,2145.0,2136.4,2139.15,12114
2025-03-03 10:50:00+05:30,1740978900,2138.85,2141.9,2134.6,2139.85,16558
2025-03-03 10:55:00+05:30,1740979200,2139.9,2140.25,2134.9,2135.05,5807
2025-03-03 11:00:00+05:30,1740979500,2135.35,2138.2,2134.2,2138.0,3887
2025-03-03 11:05:00+05:30,1740979800,2138.0,2138.0,2131.55,2133.5,5295
2025-03-03 11:10:00+05:30,1740980100,2132.55,2135.0,2130.25,2133.2,5796
2025-03-03 11:15:00+05:30,1740980400,2133.35,2136.3,2129.0,2135.85,15631
2025-03-03 11:20:00+05:30,1740980700,2135.85,2137.0,2133.0,2136.0,22590
2025-03-03 11:25:00+05:30,1740981000,2136.0,2142.5,2135.3,2141.5,6762
2025-03-03 11:30:00+05:30,1740981300,2141.8,2142.9,2139.05,2140.55,5695
2025-03-03 11:35:00+05:30,1740981600,2140.65,2140.95,2137.35,2140.6,2322
2025-03-03 11:40:00+05:30,1740981900,2140.5,2141.0,2137.9,2140.05,13140
2025-03-03 11:45:00+05:30,1740982200,2140.45,2142.0,2138.5,2139.0,13612
2025-03-03 11:50:00+05:30,1740982500,2139.85,2141.0,2137.95,2140.0,8620
2025-03-03 11:55:00+05:30,1740982800,2139.95,2141.8,2139.85,2140.95,3500
2025-03-03 12:00:00+05:30,1740983100,2140.9,2142.0,2140.0,2141.0,2221
2025-03-03 12:05:00+05:30,1740983400,2141.0,2143.0,2140.0,2142.55,4119
2025-03-03 12:10:00+05:30,1740983700,2142.4,2145.0,2141.05,2141.05,5964
2025-03-03 12:15:00+05:30,1740984000,2142.0,2143.15,2140.0,2140.75,4418
2025-03-03 12:20:00+05:30,1740984300,2140.75,2146.5,2140.0,2144.0,9435
2025-03-03 12:25:00+05:30,1740984600,2143.85,2144.25,2141.15,2142.05,6824
2025-03-03 12:30:00+05:30,1740984900,2142.05,2146.0,2140.1,2141.95,56078
2025-03-03 12:35:00+05:30,1740985200,2142.5,2146.45,2140.6,2145.0,6373
2025-03-03 12:40:00+05:30,1740985500,2146.45,2146.5,2140.6,2143.0,16574
2025-03-03 12:45:00+05:30,1740985800,2143.0,2149.85,2143.0,2147.4,16149
2025-03-03 12:50:00+05:30,1740986100,2147.4,2156.3,2147.4,2153.85,13760
2025-03-03 12:55:00+05:30,1740986400,2153.35,2155.9,2145.95,2147.55,11028
2025-03-03 13:00:00+05:30,1740986700,2148.75,2151.9,2147.5,2149.45,26675
2025-03-03 13:05:00+05:30,1740987000,2149.7,2149.85,2145.4,2149.0,4669
2025-03-03 13:10:00+05:30,1740987300,2149.0,2152.0,2148.05,2152.0,7682
2025-03-03 13:15:00+05:30,1740987600,2152.05,2155.95,2152.05,2155.95,6161
2025-03-03 13:20:00+05:30,1740987900,2155.4,2157.95,2153.5,2153.5,10143
2025-03-03 13:25:00+05:30,1740988200,2154.25,2154.5,2150.0,2151.05,7977
2025-03-03 13:30:00+05:30,1740988500,2151.05,2152.75,2149.9,2150.8,7747
2025-03-03 13:35:00+05:30,1740988800,2150.8,2151.45,2146.0,2149.35,15509
2025-03-03 13:40:00+05:30,1740989100,2149.4,2151.45,2148.75,2149.8,6861
2025-03-03 13:45:00+05:30,1740989400,2149.8,2150.45,2147.55,2149.35,9789
2025-03-03 13:50:00+05:30,1740989700,2150.0,2153.65,2149.75,2152.95,9845
2025-03-03 13:55:00+05:30,1740990000,2152.9,2153.5,2150.3,2151.25,7838
2025-03-03 14:00:00+05:30,1740990300,2150.85,2150.85,2146.45,2147.0,8392
2025-03-03 14:05:00+05:30,1740990600,2145.95,2149.85,2145.95,2149.85,4051
2025-03-03 14:10:00+05:30,1740990900,2150.05,2151.15,2147.95,2149.25,9407
2025-03-03 14:15:00+05:30,1740991200,2149.7,2155.0,2148.7,2153.15,7436
2025-03-03 14:20:00+05:30,1740991500,2153.95,2154.6,2151.0,2151.8,9204
2025-03-03 14:25:00+05:30,1740991800,2152.45,2156.2,2151.8,2155.4,10898
2025-03-03 14:30:00+05:30,1740992100,2155.4,2157.15,2154.1,2156.85,5011
2025-03-03 14:35:00+05:30,1740992400,2156.15,2158.25,2155.6,2156.8,8594
2025-03-03 14:40:00+05:30,1740992700,2156.8,2159.0,2156.25,2157.35,8059
2025-03-03 14:45:00+05:30,1740993000,2157.45,2158.35,2155.5,2158.1,10316
2025-03-03 14:50:00+05:30,1740993300,2158.2,2159.0,2154.05,2154.9,8068
2025-03-03 14:55:00+05:30,1740993600,2155.2,2157.5,2154.45,2157.5,8875
2025-03-03 15:00:00+05:30,1740993900,2157.5,2158.55,2155.0,2156.9,9358
2025-03-03 15:05:00+05:30,1740994200,2155.7,2158.4,2155.0,2157.85,13150
2025-03-03 15:10:00+05:30,1740994500,2156.8,2159.95,2156.55,2159.7,11635
2025-03-03 15:15:00+05:30,1740994800,2159.95,2164.25,2159.45,2161.1,35942
2025-03-03 15:20:00+05:30,1740995100,2161.3,2165.45,2160.5,2165.45,51423
2025-03-03 15:25:00+05:30,1740995400,2165.4,2166.0,2163.7,2165.5,19477
2025-03-03 15:30:00+05:30,1740995700,2165.25,2186.5,2163.0,2180.4,105766
2025-03-04 09:20:00+05:30,1741059900,2154.05,2159.85,2147.4,2148.0,30187
2025-03-04 09:25:00+05:30,1741060200,2147.15,2154.05,2145.35,2150.1,19902
2025-03-04 09:30:00+05:30,1741060500,2150.05,2153.45,2145.2,2148.65,22605
2025-03-04 09:35:00+05:30,1741060800,2148.65,2152.0,2145.25,2148.9,14784
2025-03-04 09:40:00+05:30,1741061100,2147.65,2149.85,2146.4,2149.65,11121
2025-03-04 09:45:00+05:30,1741061400,2149.55,2154.1,2147.6,2147.7,24992
2025-03-04 09:50:00+05:30,1741061700,2146.3,2147.45,2142.2,2146.0,13253
2025-03-04 09:55:00+05:30,1741062000,2145.95,2146.85,2141.05,2145.15,22132
2025-03-04 10:00:00+05:30,1741062300,2145.05,2146.75,2144.05,2145.7,17443
2025-03-04 10:05:00+05:30,1741062600,2146.05,2149.9,2145.7,2149.0,34890
2025-03-04 10:10:00+05:30,1741062900,2149.35,2150.0,2140.0,2140.6,72584
2025-03-04 10:15:00+05:30,1741063200,2140.0,2142.15,2138.75,2139.2,15020
2025-03-04 10:20:00+05:30,1741063500,2139.3,2142.75,2139.15,2142.75,11782
2025-03-04 10:25:00+05:30,1741063800,2142.55,2144.25,2141.35,2144.05,9571
2025-03-04 10:30:00+05:30,1741064100,2144.15,2144.8,2139.15,2140.35,10867
2025-03-04 10:35:00+05:30,1741064400,2140.55,2143.95,2138.0,2143.65,21208
2025-03-04 10:40:00+05:30,1741064700,2143.65,2150.0,2141.95,2144.2,28551
2025-03-04 10:45:00+05:30,1741065000,2144.2,2144.2,2139.0,2139.75,12067
2025-03-04 10:50:00+05:30,1741065300,2139.95,2144.3,2139.8,2144.0,12322
2025-03-04 10:55:00+05:30,1741065600,2144.0,2147.8,2143.2,2146.85,9877
2025-03-04 11:00:00+05:30,1741065900,2146.85,2147.65,2144.5,2147.0,5784
2025-03-04 11:05:00+05:30,1741066200,2147.0,2148.75,2145.3,2148.75,8683
