datetime,timestamp,open,high,low,close,volume
2025-08-01 09:20:00+05:30,1754019900,157.93,157.93,155.9,156.05,1473310
2025-08-01 09:25:00+05:30,1754020200,156.06,156.18,155.38,155.84,1230195
2025-08-01 09:30:00+05:30,1754020500,155.83,155.94,155.06,155.29,727528
2025-08-01 09:35:00+05:30,1754020800,155.24,155.82,155.05,155.46,751113
2025-08-01 09:40:00+05:30,1754021100,155.44,155.44,154.6,154.8,865749
2025-08-01 09:45:00+05:30,1754021400,154.79,155.28,154.65,154.72,439460
2025-08-01 09:50:00+05:30,1754021700,154.68,155.05,154.47,154.87,699797
2025-08-01 09:55:00+05:30,1754022000,154.88,155.3,154.8,154.9,348430
2025-08-01 10:00:00+05:30,1754022300,154.9,154.9,154.31,154.45,474555
2025-08-01 10:05:00+05:30,1754022600,154.45,154.75,154.4,154.53,290135
2025-08-01 10:10:00+05:30,1754022900,154.55,154.95,154.31,154.93,375312
2025-08-01 10:15:00+05:30,1754023200,154.94,155.12,154.83,155.03,337536
2025-08-01 10:20:00+05:30,1754023500,155.03,155.09,154.8,155.02,211738
2025-08-01 10:25:00+05:30,1754023800,155.05,155.32,154.85,154.85,272548
2025-08-01 10:30:00+05:30,1754024100,154.83,154.91,154.58,154.9,197057
2025-08-01 10:35:00+05:30,1754024400,154.91,155.26,154.75,155.12,202693
2025-08-01 10:40:00+05:30,1754024700,155.09,155.2,155.02,155.03,157177
2025-08-01 10:45:00+05:30,1754025000,155.03,155.12,154.75,154.88,187416
2025-08-01 10:50:00+05:30,1754025300,154.9,154.98,154.69,154.83,170601
2025-08-01 10:55:00+05:30,1754025600,154.8,154.83,154.46,154.77,244338
2025-08-01 11:00:00+05:30,1754025900,154.74,154.95,154.7,154.92,76132
2025-08-01 11:05:00+05:30,1754026200,154.91,155.45,154.91,155.25,303148
2025-08-01 11:10:00+05:30,1754026500,155.29,155.29,154.96,154.98,177037
2025-08-01 11:15:00+05:30,1754026800,154.99,155.14,154.91,155.01,108874
2025-08-01 11:20:00+05:30,1754027100,155.01,155.15,154.74,154.88,215334
2025-08-01 11:25:00+05:30,1754027400,154.88,154.93,154.66,154.87,147716
2025-08-01 11:30:00+05:30,1754027700,154.86,154.94,154.71,154.75,89698
2025-08-01 11:35:00+05:30,1754028000,154.75,154.75,154.55,154.62,152782
2025-08-01 11:40:00+05:30,1754028300,154.63,154.75,154.19,154.2,311630
2025-08-01 11:45:00+05:30,1754028600,154.24,154.26,153.61,153.68,569111
2025-08-01 11:50:00+05:30,1754028900,153.7,153.88,153.65,153.84,206261
2025-08-01 11:55:00+05:30,1754029200,153.84,154.1,153.77,153.96,266162
2025-08-01 12:00:00+05:30,1754029500,153.95,153.96,153.7,153.83,156411
2025-08-01 12:05:00+05:30,1754029800,153.81,153.87,153.69,153.78,158200
2025-08-01 12:10:00+05:30,1754030100,153.73,153.82,153.63,153.71,112666
2025-08-01 12:15:00+05:30,1754030400,153.71,153.83,153.62,153.8,158944
2025-08-01 12:20:00+05:30,1754030700,153.78,154.1,153.77,154.08,190781
2025-08-01 12:25:00+05:30,1754031000,154.08,154.4,154.07,154.35,192904
2025-08-01 12:30:00+05:30,1754031300,154.35,154.37,154.04,154.11,147170
2025-08-01 12:35:00+05:30,1754031600,154.11,154.32,153.91,153.97,163763
2025-08-01 12:40:00+05:30,1754031900,153.98,153.98,153.8,153.88,146396
2025-08-01 12:45:00+05:30,1754032200,153.87,153.89,153.6,153.61,279855
2025-08-01 12:50:00+05:30,1754032500,153.6,153.64,153.22,153.31,340501
2025-08-01 12:55:00+05:30,1754032800,153.31,153.35,153.0,153.23,308483
2025-08-01 13:00:00+05:30,1754033100,153.23,153.43,153.15,153.19,168889
2025-08-01 13:05:00+05:30,1754033400,153.17,153.23,153.1,153.12,158453
2025-08-01 13:10:00+05:30,1754033700,153.12,153.37,153.12,153.31,139605
2025-08-01 13:15:00+05:30,1754034000,153.31,153.39,153.15,153.34,157622
2025-08-01 13:20:00+05:30,1754034300,153.33,153.37,153.12,153.14,206855
2025-08-01 13:25:00+05:30,1754034600,153.14,153.43,153.11,153.41,121095
2025-08-01 13:30:00+05:30,1754034900,153.41,153.59,153.35,153.57,135253
2025-08-01 13:35:00+05:30,1754035200,153.58,153.72,153.43,153.5,165778
2025-08-01 13:40:00+05:30,1754035500,153.5,153.54,153.1,153.18,203726
2025-08-01 13:45:00+05:30,1754035800,153.18,153.31,153.1,153.28,228049
2025-08-01 13:50:00+05:30,1754036100,153.27,153.4,153.26,153.34,110733
2025-08-01 13:55:00+05:30,1754036400,153.34,153.45,153.27,153.35,96641
2025-08-01 14:00:00+05:30,1754036700,153.37,153.45,153.09,153.16,164813
2025-08-01 14:05:00+05:30,1754037000,153.16,153.22,153.1,153.15,128664
2025-08-01 14:10:00+05:30,1754037300,153.15,153.28,153.05,153.14,166217
2025-08-01 14:15:00+05:30,1754037600,153.17,153.39,153.14,153.38,167851
2025-08-01 14:20:00+05:30,1754037900,153.37,153.4,153.19,153.2,152893
2025-08-01 14:25:00+05:30,1754038200,153.21,153.34,153.1,153.11,136519
2025-08-01 14:30:00+05:30,1754038500,153.1,153.15,153.0,153.06,187854
2025-08-01 14:35:00+05:30,1754038800,153.08,153.45,153.0,153.42,285887
2025-08-01 14:40:00+05:30,1754039100,153.43,153.69,153.05,153.21,317626
2025-08-01 14:45:00+05:30,1754039400,153.25,153.26,153.08,153.15,135197
2025-08-01 14:50:00+05:30,1754039700,153.15,153.29,153.03,153.23,178895
2025-08-01 14:55:00+05:30,1754040000,153.23,153.28,153.03,153.11,198868
2025-08-01 15:00:00+05:30,1754040300,153.15,153.24,153.03,153.13,413215
2025-08-01 15:05:00+05:30,1754040600,153.1,153.4,153.05,153.36,491283
2025-08-01 15:10:00+05:30,1754040900,153.36,153.38,153.09,153.12,760573
2025-08-01 15:15:00+05:30,1754041200,153.12,153.21,153.03,153.12,749997
2025-08-01 15:20:00+05:30,1754041500,153.13,153.22,152.56,152.56,1521422
2025-08-01 15:25:00+05:30,1754041800,152.58,152.98,152.51,152.95,761022
2025-08-01 15:30:00+05:30,1754042100,152.97,153.08,152.84,153.0,468511
2025-08-04 09:20:00+05:30,1754279100,153.5,155.45,153.5,155.01,1742143
2025-08-04 09:25:00+05:30,1754279400,155.03,155.59,154.8,155.48,974229
2025-08-04 09:30:00+05:30,1754279700,155.47,156.09,155.36,155.99,985628
2025-08-04 09:35:00+05:30,1754280000,155.99,156.35,155.85,156.29,720434
2025-08-04 09:40:00+05:30,1754280300,156.29,156.4,155.61,156.35,443098
2025-08-04 09:45:00+05:30,1754280600,156.4,156.5,155.87,155.96,487747
2025-08-04 09:50:00+05:30,1754280900,155.9,156.63,155.77,156.56,593851
2025-08-04 09:55:00+05:30,1754281200,156.61,156.8,156.42,156.52,555845
2025-08-04 10:00:00+05:30,1754281500,156.52,156.6,156.2,156.2,246727
2025-08-04 10:05:00+05:30,1754281800,156.22,156.62,156.15,156.61,269054
2025-08-04 10:10:00+05:30,1754282100,156.6,156.69,156.46,156.59,157292
2025-08-04 10:15:00+05:30,1754282400,156.6,157.16,156.42,157.04,590476
2025-08-04 10:20:00+05:30,1754282700,157.04,157.16,156.68,156.77,444508
2025-08-04 10:25:00+05:30,1754283000,156.78,157.0,156.62,156.99,248251
2025-08-04 10:30:00+05:30,1754283300,156.98,156.99,156.52,156.66,201925
