Ticker,Date,Time,Open,High,Low,Close,Volume,Open Interest
RELIANCE.NSE,07/07/2025,09:15:59,1526.6,1534.7,1525,1533.5,211427,0
RELIANCE.NSE,07/07/2025,09:16:59,1533.3,1533.4,1530.7,1531.1,55758,0
RELIANCE.NSE,07/07/2025,09:17:59,1531.2,1532,1530.7,1531.1,29297,0
RELIANCE.NSE,07/07/2025,09:18:59,1530.6,1532,1529.1,1531.7,32105,0
RELIANCE.NSE,07/07/2025,09:19:59,1531.7,1534,1531.5,1533.5,40245,0
RELIANCE.NSE,07/07/2025,09:20:59,1533.9,1534.5,1533.8,1534.1,28632,0
RELIANCE.NSE,07/07/2025,09:21:59,1533,1535.5,1532.9,1535.4,59986,0
RELIANCE.NSE,07/07/2025,09:22:59,1535.3,1535.8,1533.5,1533.5,21282,0
RELIANCE.NSE,07/07/2025,09:23:59,1533.7,1533.7,1531.3,1531.8,19490,0
RELIANCE.NSE,07/07/2025,09:24:59,1531.8,1532.1,1531.3,1531.9,10529,0
RELIANCE.NSE,07/07/2025,09:25:59,1532,1532,1530.5,1530.5,14906,0
RELIANCE.NSE,07/07/2025,09:26:59,1530.5,1532.7,1530.5,1532.7,19364,0
RELIANCE.NSE,07/07/2025,09:27:59,1532.9,1533.1,1531,1531,11355,0
RELIANCE.NSE,07/07/2025,09:28:59,1531,1531.3,1530.9,1530.9,13122,0
RELIANCE.NSE,07/07/2025,09:29:59,1531.5,1532.9,1531.5,1532.1,16803,0
RELIANCE.NSE,07/07/2025,09:30:59,1532.7,1534.4,1532.7,1534.4,44470,0
RELIANCE.NSE,07/07/2025,09:31:59,1535,1537,1534.7,1537,55098,0
RELIANCE.NSE,07/07/2025,09:32:59,1537,1538,1536,1537.2,41436,0
RELIANCE.NSE,07/07/2025,09:33:59,1536.7,1538.6,1536.5,1538,40656,0
RELIANCE.NSE,07/07/2025,09:34:59,1538.5,1538.5,1537,1537.4,16266,0
RELIANCE.NSE,07/07/2025,09:35:59,1537.5,1539.5,1537.4,1538.8,36002,0
RELIANCE.NSE,07/07/2025,09:36:59,1538.6,1538.6,1536.4,1536.6,21767,0
RELIANCE.NSE,07/07/2025,09:37:59,1536.9,1537.3,1536.6,1537.2,8934,0
RELIANCE.NSE,07/07/2025,09:38:59,1537.2,1537.2,1536.3,1536.3,10915,0
RELIANCE.NSE,07/07/2025,09:39:59,1536.3,1536.6,1536.3,1536.6,16887,0
RELIANCE.NSE,07/07/2025,09:40:59,1536.2,1536.4,1535.6,1535.9,13042,0
RELIANCE.NSE,07/07/2025,09:41:59,1535.5,1536,1535.5,1535.8,6640,0
RELIANCE.NSE,07/07/2025,09:42:59,1536,1537,1536,1536.8,12077,0
RELIANCE.NSE,07/07/2025,09:43:59,1536.4,1536.4,1536,1536.2,8678,0
RELIANCE.NSE,07/07/2025,09:44:59,1536.2,1536.2,1535.2,1536,6411,0
RELIANCE.NSE,07/07/2025,09:45:59,1536,1536,1535.6,1535.6,8456,0
RELIANCE.NSE,07/07/2025,09:46:59,1535.9,1536.5,1535.6,1535.7,18550,0
RELIANCE.NSE,07/07/2025,09:47:59,1535.9,1535.9,1535.3,1535.9,4668,0
RELIANCE.NSE,07/07/2025,09:48:59,1535.9,1535.9,1535.3,1535.9,8692,0
RELIANCE.NSE,07/07/2025,09:49:59,1535.6,1536.4,1535.4,1536.1,13620,0
RELIANCE.NSE,07/07/2025,09:50:59,1536,1536.5,1535.5,1536.4,5654,0
RELIANCE.NSE,07/07/2025,09:51:59,1536.4,1536.4,1535.8,1535.8,12283,0
RELIANCE.NSE,07/07/2025,09:52:59,1535.4,1535.5,1534.7,1534.7,15321,0
RELIANCE.NSE,07/07/2025,09:53:59,1534.7,1535.4,1534.2,1535.3,9890,0
RELIANCE.NSE,07/07/2025,09:54:59,1535.4,1535.5,1535.4,1535.5,8315,0
RELIANCE.NSE,07/07/2025,09:55:59,1535.9,1535.9,1535.5,1535.9,7116,0
RELIANCE.NSE,07/07/2025,09:56:59,1535.8,1535.8,1535.7,1535.8,5222,0
RELIANCE.NSE,07/07/2025,09:57:59,1535.9,1536.2,1535.8,1536.2,6532,0
RELIANCE.NSE,07/07/2025,09:58:59,1536.2,1536.2,1535.8,1535.8,7249,0
RELIANCE.NSE,07/07/2025,09:59:59,1535.7,1536,1535.7,1535.7,5064,0
RELIANCE.NSE,07/07/2025,10:00:59,1536,1536,1535.6,1536,3962,0
RELIANCE.NSE,07/07/2025,10:01:59,1536,1536,1534.8,1534.8,12071,0
RELIANCE.NSE,07/07/2025,10:02:59,1535,1535,1534.6,1535,5356,0
RELIANCE.NSE,07/07/2025,10:03:59,1534.9,1536.9,1534.6,1536.3,46490,0
RELIANCE.NSE,07/07/2025,10:04:59,1536.4,1536.4,1536.2,1536.3,10774,0
RELIANCE.NSE,07/07/2025,10:05:59,1536.3,1536.4,1536,1536.1,24894,0
RELIANCE.NSE,07/07/2025,10:06:59,1536,1536.1,1535,1535,57242,0
RELIANCE.NSE,07/07/2025,10:07:59,1535,1536,1535,1536,2961,0
RELIANCE.NSE,07/07/2025,10:08:59,1536,1536.1,1535.5,1535.5,10880,0
RELIANCE.NSE,07/07/2025,10:09:59,1535.6,1535.6,1533.1,1533.1,23812,0
RELIANCE.NSE,07/07/2025,10:10:59,1533.1,1533.9,1532.4,1533.9,10786,0
RELIANCE.NSE,07/07/2025,10:11:59,1533.9,1534.5,1533.5,1533.6,11350,0
RELIANCE.NSE,07/07/2025,10:12:59,1533.6,1534.7,1533.6,1534.7,6364,0
RELIANCE.NSE,07/07/2025,10:13:59,1534.7,1535.5,1534.7,1535.1,14448,0
RELIANCE.NSE,07/07/2025,10:14:59,1535.2,1535.2,1534.9,1535,8850,0
RELIANCE.NSE,07/07/2025,10:15:59,1534.9,1536.5,1534.9,1536.5,27038,0
RELIANCE.NSE,07/07/2025,10:16:59,1536.5,1536.5,1536,1536.1,7452,0
RELIANCE.NSE,07/07/2025,10:17:59,1536.4,1536.4,1535.3,1535.7,10044,0
RELIANCE.NSE,07/07/2025,10:18:59,1535.7,1536,1535.3,1535.9,5280,0
RELIANCE.NSE,07/07/2025,10:19:59,1535.9,1536,1535.5,1535.5,5188,0
RELIANCE.NSE,07/07/2025,10:20:59,1535.7,1536,1535.5,1535.6,4034,0
RELIANCE.NSE,07/07/2025,10:21:59,1535.5,1535.9,1535.5,1535.7,3707,0
RELIANCE.NSE,07/07/2025,10:22:59,1535.9,1536.1,1535.9,1536,6291,0
RELIANCE.NSE,07/07/2025,10:23:59,1536,1536.1,1536,1536.1,5296,0
RELIANCE.NSE,07/07/2025,10:24:59,1536.9,1537.9,1536.9,1537.8,27815,0
RELIANCE.NSE,07/07/2025,10:25:59,1537.9,1538.4,1537.8,1538.4,24792,0
RELIANCE.NSE,07/07/2025,10:26:59,1538.3,1538.8,1538,1538.2,13370,0
RELIANCE.NSE,07/07/2025,10:27:59,1538.2,1538.9,1538,1538.9,11446,0
RELIANCE.NSE,07/07/2025,10:28:59,1538.8,1539.4,1538,1538.2,38892,0
RELIANCE.NSE,07/07/2025,10:29:59,1538.2,1538.3,1537.3,1537.5,19523,0
RELIANCE.NSE,07/07/2025,10:30:59,1537.5,1538.4,1537.5,1538,10602,0
RELIANCE.NSE,07/07/2025,10:31:59,1538.4,1538.4,1537.6,1537.9,9729,0
RELIANCE.NSE,07/07/2025,10:32:59,1537.8,1538,1537.6,1538,6922,0
