,Close
0,1387.9
1,1388.4
2,1389.0
3,1388.9
4,1390.8
5,1391.9
6,1391.1
7,1391.3
8,1390.0
9,1390.0
10,1391.0
11,1389.2
12,1389.1
13,1388.7
14,1389.5
15,1389.7
16,1391.5
17,1392.6
18,1394.3
19,1392.9
20,1393.4
21,1394.7
22,1394.7
23,1394.6
24,1394.3
25,1394.9
26,1395.3
27,1395.0
28,1395.4
29,1394.6
30,1394.8
31,1394.7
32,1394.4
33,1395.8
34,1394.6
35,1394.9
36,1395.6
37,1395.4
38,1394.0
39,1392.1
40,1392.9
41,1391.8
42,1392.6
43,1392.8
44,1395.4
45,1397.0
46,1397.5
47,1399.0
48,1400.6
49,1402.2
50,1401.8
51,1402.2
52,1400.7
53,1399.6
54,1400.6
55,1402.0
56,1400.7
57,1401.7
58,1401.3
59,1401.4
60,1401.0
61,1400.5
62,1400.3
63,1400.3
64,1400.3
65,1401.8
66,1402.6
67,1402.1
68,1402.1
69,1401.6
70,1402.2
71,1402.3
72,1402.4
73,1401.5
74,1401.8
75,1403.7
76,1403.8
77,1403.0
78,1403.4
79,1403.0
80,1403.6
81,1404.4
82,1404.8
83,1403.3
84,1403.4
85,1403.5
86,1403.3
87,1401.4
88,1402.0
89,1401.9
90,1402.0
91,1400.2
92,1401.1
93,1400.2
94,1400.8
95,1399.7
96,1400.0
97,1400.0
98,1400.6
99,1399.5
100,1399.9
101,1400.3
102,1400.3
103,1400.2
104,1400.4
105,1401.2
106,1401.9
107,1402.6
108,1402.2
109,1401.8
110,1401.5
111,1401.2
112,1400.3
113,1399.7
114,1400.3
115,1401.4
116,1400.8
117,1400.6
118,1398.6
119,1399.8
120,1399.4
121,1400.1
122,1399.2
123,1395.2
124,1396.7
125,1397.0
126,1397.5
127,1397.5
128,1398.0
129,1399.0
130,1399.6
131,1399.0
132,1399.1
133,1398.0
134,1398.1
135,1397.7
136,1398.7
137,1397.7
138,1398.0
139,1397.9
140,1397.2
141,1396.9
142,1397.8
143,1397.5
144,1396.2
145,1397.2
146,1396.3
147,1396.5
148,1396.5
149,1395.0
150,1396.0
151,1395.8
152,1396.0
153,1397.5
154,1398.5
155,1397.8
156,1398.7
157,1398.7
158,1399.1
159,1398.7
160,1398.4
161,1398.1
162,1397.1
163,1398.2
164,1397.8
165,1398.4
166,1398.3
167,1398.4
168,1399.0
169,1399.3
170,1400.1
171,1400.4
172,1400.5
173,1400.2
174,1400.5
175,1400.3
176,1400.1
177,1400.6
178,1400.9
179,1400.0
180,1400.6
181,1400.7
182,1400.7
183,1400.5
184,1400.1
185,1400.3
186,1400.8
187,1400.8
188,1400.9
189,1401.0
190,1401.6
191,1401.5
192,1401.3
193,1400.9
194,1401.9
195,1402.0
196,1403.8
197,1403.5
198,1402.2
199,1401.4
200,1400.4
201,1400.5
202,1401.3
203,1400.7
204,1400.2
205,1400.2
206,1400.7
207,1400.2
208,1398.6
209,1400.6
210,1400.7
211,1400.5
212,1401.3
213,1401.1
214,1400.4
215,1400.6
216,1400.8
217,1400.8
218,1401.2
219,1401.5
220,1401.5
221,1400.8
222,1400.8
223,1400.7
224,1399.9
225,1400.0
226,1399.9
227,1399.8
228,1398.9
229,1399.3
230,1400.5
231,1400.3
232,1400.6
233,1400.8
234,1400.2
235,1400.1
236,1400.3
237,1401.1
238,1401.0
239,1400.4
240,1400.4
241,1400.7
242,1401.0
243,1400.5
244,1400.4
245,1400.5
246,1400.7
247,1401.2
248,1401.2
249,1401.3
250,1402.4
251,1403.2
252,1403.5
253,1403.2
254,1403.9
255,1402.9
256,1403.7
257,1404.1
258,1403.5
259,1402.7
260,1402.8
261,1402.8
262,1402.9
263,1399.8
264,1400.9
265,1401.4
266,1401.4
267,1401.7
268,1401.9
269,1402.4
270,1402.3
271,1402.7
272,1401.7
273,1401.7
274,1402.0
275,1401.6
276,1401.3
277,1400.7
278,1399.9
279,1400.5
280,1400.1
281,1400.2
282,1399.9
283,1399.7
284,1399.5
285,1400.2
286,1400.4
287,1399.8
288,1400.3
289,1400.1
290,1399.9
291,1399.8
292,1399.4
293,1398.9
294,1399.5
295,1399.5
296,1400.0
297,1400.2
298,1399.2
299,1399.7
300,1400.0
301,1400.1
302,1400.3
303,1400.5
304,1400.5
305,1400.9
306,1400.7
307,1400.1
308,1400.2
309,1399.9
310,1400.0
311,1400.1
312,1400.0
313,1399.7
314,1400.3
315,1400.3
316,1401.0
317,1400.1
318,1401.9
319,1401.4
320,1402.0
321,1401.8
322,1401.3
323,1397.8
324,1399.6
325,1399.2
326,1398.9
327,1398.6
328,1398.7
329,1400.0
330,1400.0
331,1399.8
332,1400.5
333,1400.8
334,1400.9
335,1400.8
336,1400.8
337,1400.5
338,1400.3
339,1400.3
340,1398.4
341,1398.8
342,1398.7
343,1399.0
344,1399.3
345,1397.3
346,1398.1
347,1397.6
348,1396.8
349,1396.1
350,1394.5
351,1393.6
352,1393.6
353,1391.6
354,1391.5
355,1391.5
356,1391.0
357,1392.1
358,1391.7
359,1392.1
360,1392.0
361,1391.9
362,1392.6
363,1393.4
364,1393.5
365,1392.9
366,1393.3
367,1394.2
368,1394.8
369,1394.9
370,1394.0
371,1392.1
372,1392.6
373,1393.9
374,1394.1
375,1394.1
376,1393.7
377,1393.7
378,1393.7
379,1393.7
380,1393.7
381,1393.7
382,1393.7
383,1393.7
384,1393.7
385,1393.7
386,1397.3
387,1398.6
388,1400.4
389,1401.9
390,1404.3
391,1404.0
392,1403.4
393,1403.5
394,1404.5
395,1404.2
396,1405.6
397,1405.0
398,1403.5
399,1404.4
400,1404.2
401,1404.9
402,1404.0
403,1403.0
404,1402.5
405,1402.0
406,1401.3
407,1402.3
408,1401.5
409,1402.6
410,1404.2
411,1403.3
412,1402.7
413,1405.0
414,1402.3
415,1400.8
416,1400.1
417,1399.0
418,1398.3
419,1398.2
420,1401.7
421,1403.7
422,1404.0
423,1403.7
424,1403.7
425,1403.4
426,1404.8
427,1404.5
428,1404.1
429,1404.4
430,1404.6
431,1404.8
432,1405.1
433,1405.4
434,1406.5
435,1406.8
436,1407.5
437,1406.5
438,1407.2
439,1407.2
440,1408.4
441,1408.4
442,1408.9
443,1408.0
444,1408.0
445,1408.8
446,1409.2
447,1409.4
448,1409.0
449,1409.9
450,1408.2
451,1408.8
452,1409.5
453,1409.5
454,1410.2
455,1410.7
456,1410.9
457,1410.3
458,1408.8
459,1410.3
460,1409.9
461,1411.0
462,1412.2
463,1412.0
464,1412.8
465,1412.9
466,1412.4
467,1412.2
468,1411.6
469,1411.0
470,1412.5
471,1412.6
472,1413.0
473,1414.0
474,1412.0
475,1412.3
476,1412.4
477,1412.7
478,1412.3
479,1412.1
480,1412.1
481,1411.9
482,1411.5
483,1412.0
484,1412.1
485,1412.5
486,1412.2
487,1412.4
488,1410.6
489,1411.7
490,1411.0
491,1413.1
492,1413.7
493,1413.2
494,1413.2
495,1413.3
496,1413.6
497,1414.0
498,1413.5
499,1412.6
500,1413.3
501,1413.3
502,1413.4
503,1413.5
504,1413.1
505,1413.3
506,1414.0
507,1412.7
508,1412.8
509,1412.8
510,1412.5
511,1412.8
512,1412.6
513,1413.5
514,1412.5
515,1412.6
516,1412.8
517,1412.7
518,1413.0
519,1412.5
520,1412.5
521,1413.0
522,1413.1
523,1413.0
524,1412.8
525,1412.8
526,1413.5
527,1412.5
528,1412.4
529,1409.9
530,1411.5
531,1411.3
532,1411.3
533,1412.4
534,1412.3
535,1412.3
536,1412.3
537,1411.8
538,1411.9
539,1412.2
540,1411.5
541,1412.3
542,1411.5
543,1411.7
544,1412.2
545,1412.3
546,1412.5
547,1412.6
548,1412.9
549,1412.8
550,1412.8
551,1412.5
552,1412.5
553,1412.5
554,1412.2
555,1412.8
556,1413.0
557,1412.8
558,1413.0
559,1412.7
560,1412.7
561,1413.2
562,1413.4
563,1413.6
564,1413.7
565,1414.1
566,1413.7
567,1414.4
568,1414.7
569,1414.2
570,1414.8
571,1415.0
572,1414.8
573,1414.2
574,1414.4
575,1413.0
576,1414.1
577,1414.4
578,1414.5
579,1414.8
580,1414.3
581,1414.6
582,1414.7
583,1414.7
584,1415.8
585,1415.3
586,1415.8
587,1415.5
588,1415.6
589,1415.6
590,1415.6
591,1415.9
592,1415.7
593,1414.8
594,1414.9
595,1414.8
596,1415.4
597,1414.5
598,1414.2
599,1413.4
600,1413.8
601,1413.6
602,1414.1
603,1413.6
604,1413.4
605,1412.8
606,1412.9
607,1413.4
608,1413.1
609,1413.0
610,1413.1
611,1414.1
612,1414.1
613,1414.7
614,1414.5
615,1413.4
616,1414.0
617,1413.6
618,1413.5
619,1413.2
620,1413.7
621,1413.2
622,1413.4
623,1413.5
624,1413.2
625,1412.8
626,1413.0
627,1413.3
628,1412.6
629,1411.8
630,1412.2
631,1412.2
632,1412.2
633,1412.6
634,1412.7
635,1412.5
636,1412.4
637,1412.9
638,1411.3
639,1409.5
640,1411.8
641,1412.3
642,1412.1
643,1412.8
644,1413.0
645,1413.1
646,1413.5
647,1413.0
648,1413.0
649,1412.8
650,1412.8
651,1412.4
652,1412.6
653,1413.0
654,1413.2
655,1413.3
656,1413.9
657,1414.9
658,1415.0
659,1414.8
660,1414.9
661,1414.8
662,1415.2
663,1415.0
664,1414.9
665,1415.4
666,1415.1
667,1415.2
668,1415.0
669,1415.3
670,1415.1
671,1415.4
672,1415.8
673,1413.6
674,1412.1
675,1413.7
676,1414.5
677,1414.7
678,1414.5
679,1414.5
680,1415.0
681,1414.5
682,1414.6
683,1414.4
684,1414.8
685,1414.8
686,1415.1
687,1414.6
688,1414.7
689,1414.9
690,1414.9
691,1414.5
692,1415.0
693,1413.8
694,1414.8
695,1414.4
696,1414.8
697,1414.1
698,1414.7
699,1414.6
700,1414.7
701,1414.3
702,1414.7
703,1414.6
704,1414.4
705,1414.2
706,1412.6
707,1412.2
708,1411.4
709,1410.9
710,1412.0
711,1412.4
712,1412.7
713,1412.5
714,1413.0
715,1411.3
716,1409.8
717,1411.6
718,1412.4
719,1413.3
720,1412.7
721,1412.6
722,1413.8
723,1412.9
724,1413.1
725,1413.8
726,1413.9
727,1413.7
728,1413.4
729,1413.8
730,1414.0
731,1412.2
732,1411.9
733,1411.8
734,1411.6
735,1411.9
736,1411.7
737,1411.7
738,1411.6
739,1411.7
740,1411.6
741,1411.8
742,1410.7
743,1410.5
744,1410.6
745,1410.9
746,1411.2
747,1411.7
748,1410.9
749,1410.8
750,1410.9
751,1410.9
752,1411.0
753,1411.0
754,1412.0
755,1412.0
756,1411.0
757,1411.3
758,1411.7
759,1411.7
760,1410.4
761,1411.5
762,1411.5
763,1411.5
764,1411.5
765,1411.5
766,1411.5
767,1411.5
768,1411.5
769,1411.5
770,1411.5
771,1411.5
772,1411.5
773,1411.5
774,1411.5
775,1411.5
776,1411.5
777,1411.5
778,1406.1
779,1403.9
780,1405.0
781,1402.9
782,1400.8
783,1401.4
784,1403.2
785,1402.9
786,1403.5
787,1402.5
788,1402.6
789,1401.9
790,1403.0
791,1402.9
792,1400.9
793,1401.4
794,1400.7
795,1401.0
796,1402.6
797,1403.1
798,1403.3
799,1401.6
800,1400.9
801,1400.3
802,1399.6
803,1397.7
804,1399.4
805,1400.4
806,1400.7
807,1400.6
808,1398.9
809,1399.5
810,1398.2
811,1399.0
812,1399.1
813,1399.2
814,1399.0
815,1398.6
816,1398.6
817,1398.3
818,1398.4
819,1398.4
820,1398.3
821,1397.7
822,1398.1
823,1397.7
824,1397.4
825,1397.4
826,1398.3
827,1398.4
828,1398.6
829,1399.6
830,1398.5
831,1398.9
832,1399.2
833,1398.6
834,1398.1
835,1398.3
836,1396.7
837,1397.2
838,1397.5
839,1397.7
840,1397.7
841,1397.5
842,1397.7
843,1397.5
844,1397.1
845,1397.6
846,1398.0
847,1397.7
848,1397.6
849,1399.8
850,1399.0
851,1398.9
852,1399.1
853,1398.4
854,1397.8
855,1397.3
856,1398.0
857,1397.8
858,1397.7
859,1398.0
860,1398.1
861,1398.6
862,1398.0
863,1396.9
864,1397.2
865,1396.7
866,1396.2
867,1396.6
868,1396.1
869,1395.8
870,1395.6
871,1395.8
872,1395.2
873,1396.5
874,1396.3
875,1396.6
876,1396.1
877,1397.0
878,1396.9
879,1396.4
880,1396.6
881,1396.6
882,1396.8
883,1396.0
884,1396.2
885,1396.7
886,1396.4
887,1396.5
888,1395.5
889,1396.1
890,1395.6
891,1395.8
892,1395.7
893,1395.4
894,1396.2
895,1396.2
896,1397.3
897,1397.5
898,1397.5
899,1397.9
900,1398.2
901,1398.1
902,1398.2
903,1396.3
904,1396.1
905,1396.3
906,1396.8
907,1396.5
908,1397.2
909,1397.3
910,1397.2
911,1397.1
912,1396.3
913,1396.3
914,1395.9
915,1396.0
916,1396.0
917,1396.0
918,1396.0
919,1396.1
920,1396.7
921,1397.1
922,1396.8
923,1396.0
924,1396.4
925,1396.0
926,1395.7
927,1395.6
928,1395.6
929,1395.3
930,1395.4
931,1395.3
932,1395.4
933,1395.7
